# 软件所 提交列表（纯文本视图）
# 共 329 个提交
# 生成时间: 2026-09-22 16:21:13
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
6ac69af4 | 2023-05-08 | Icenowy Zheng | drm: verisilicon: fix fbcon
d3dd6d36 | 2022-09-14 | Icenowy Zheng | drm/dc8200: disable gamma lut now
a3efb751 | 2024-09-14 | Drew Fustini | cpufreq: th1520-cpufreq: fix cpu_pll1 already disabled warning
0dc08f80 | 2024-09-13 | Icenowy Zheng | th1520: use etnaviv gpu
1a7544d4 | 2024-09-01 | Han Gao | configs: enable img rogue gpu
3b029260 | 2024-09-01 | Mingzheng Xing | th1520: gpu: Add driver for PowerVR Rogue GPU
4df53ffc | 2024-09-01 | Han Gao | fix: dts: remove duplicate node
1027b9a3 | 2024-09-01 | Han Gao | Solve problem of hdmi-edid reading
3cf81ffe | 2024-09-01 | Han Gao | riscv:uprobe: fix flush_icache to ensure that instructions are refreshed when switching to user mode
c4bb50b2 | 2024-09-01 | Han Gao | HDMI: fix bug of not being able to light up the external monitor
af381240 | 2024-09-01 | xianbing Zhu | hibernate: reduce logs in nosave_region register/remove
a4260eaf | 2024-09-01 | Han Gao | Fix panel-jadard-jd9365da panel driver problem
bf8031f3 | 2024-09-01 | Han Gao | Fix panel-jadard-jd9365da panel driver problem
50efd8f5 | 2024-09-01 | Han Gao | sensor: fix bug of channel 1 and channel 2 of video2 failed to run
16ed938e | 2024-09-01 | Han Gao | Expand cma size from 512MB to 768MB to meet the FBO video frame buffer requirement from chromium's X11 XVideo display feature
01b3457e | 2024-09-01 | Han Gao | defconfig: th1520: to fix the problem of perf test fail
85d3ad05 | 2024-09-01 | Han Gao | Fix: Repair rvbook hall sensor functionality and optimize codebase
e6454d28 | 2024-09-01 | Xiangyi Zeng | drivers: pwm_bl: fix adjusting failure of pwm backlight when resume from str
2d6e1926 | 2024-09-01 | Han Gao | riscv:vector: Check datap status in __switch_to_vector
4adfa935 | 2024-09-01 | David Li | audio: th1520: solve misalignment dma addr problem when HDMI playback
1ac85039 | 2024-09-01 | Xiangyi Zeng | drivers: i2c-hid: fix rvbook i2c-hid wake-up error
db29aca5 | 2024-09-01 | Han Gao | th1520_defconfig:Enable lowpower settings
fb04ae13 | 2024-09-01 | Han Gao | th1520_defconfig:Enable ebpf settings
8fa7056b | 2024-09-01 | xianbing Zhu | hibernate: add blkdev flush op berfore poweroff
695d5821 | 2024-09-01 | Han Gao | dts: th1520: sd card not try sdio cmds
1b45b22c | 2024-09-01 | Han Gao | fix rv_book str
dfe77738 | 2024-09-01 | David Li | audio: light: i2s dma channel acquire change to dynamic
6bbc0b7a | 2024-09-01 | Xiangyi Zeng | dts: crash: enable watchdog0 and watchdog1 in crash kernel
0987a312 | 2024-09-01 | Han Gao | driver usb: optimize pm resume time, do resume in runtime_resume
049ccf35 | 2024-09-01 | Han Gao | Solve problem of DSI transfer command failure when hotplug hdmi
57f4abed | 2024-09-01 | Han Gao | dts: bt: support rtl8822cs
0013c40b | 2024-09-01 | Han Gao | dts: wifi: support rtl8822cs
00ef21b5 | 2024-09-01 | Han Gao | defconfig: wifi : add rtl8822cs(for rvbook)
9e76f783 | 2024-09-01 | tingming | defconfig: th1520: to fix problem of do_compile_kernelmodules fail
9f14639b | 2024-09-01 | tingming | defconfig: th1520: to add configs of media
ceece375 | 2024-09-01 | Xiangyi Zeng | dts: som: add gpio-keys node
9e78abf2 | 2024-09-01 | Xiangyi Zeng | driver: wdt: th1520_wdt: add th1520_wdt driver pm ops
d98e1dcc | 2024-09-01 | Han Gao | riscv:kdump: Fix gen /proc/vmcore
b1450e51 | 2024-09-01 | Han Gao | driver:tee:add tee_driver_pm_ops
32af254e | 2024-09-01 | Han Gao | driver:tee:Allow to freeze when tee supplicant is freezed
a30996fc | 2024-09-01 | Han Gao | usb: dwc3: th1520.dtsi: bugfix: fix usb str xhci error
aae61b27 | 2024-09-01 | Xiangyi Zeng | drivers: mtd: nand: spi: support new winbond-spi-nand devices
dbb045dd | 2024-09-01 | Han Gao | drivers: support virtio_vdmabuf
fb0eee98 | 2024-09-01 | tingming | config: th1520: to modify MEMBLOCK&LOCALVERSION_AUTO config
798c04ec | 2024-09-01 | xianbing Zhu | dts:th1520: fix sd card wprtn issue
488124da | 2024-09-01 | xianbing Zhu | dts:th1520: add aliases for basic interface
8ea2593e | 2024-09-01 | Han Gao | perf:test:fix PERF_RECORD_* events & perf_sample fields in yocto linux
b00df971 | 2024-09-01 | shuofeng.ren | audio: light_fm: change hdmi config for ap i2s hdmi audio
c53cb90b | 2024-09-01 | Han Gao | move the place of dts "audio-text-memory-region" property
ed9057f9 | 2024-09-01 | Huaming | driver:i2c:fix rx_over miss re-try
d4e54561 | 2024-09-01 | Han Gao | defconfig: bt: add hid support
aee11e2e | 2024-09-01 | Esther Z | drivers: cpufreq: fix cpufreq em model regsiter warn.
b9a1f099 | 2024-09-01 | Xiangyi Zeng | drivers: pwm: fix pwm enable status check error
a30f0fc0 | 2024-09-01 | xianbing Zhu | th1520: sdhci: add quirks for th1520-a-val board
1ec7b94d | 2024-09-01 | Han Gao | defconfig: bt : add rtl8723ds
e844f7d7 | 2024-09-01 | Han Gao | driver: bt : Compatible with RTL8723ds'h5 protocol
256c3a5c | 2024-09-01 | Han Gao | driver: bt: add rtl8723ds h5 protocol
9b7d81ec | 2024-09-01 | Han Gao | add audio hibernation ops
103e57e4 | 2024-09-01 | Han Gao | DPU: remove panel unprepare process in disable dsi process
235aa330 | 2024-09-01 | xianbing Zhu | sdhci:th1520: fixup mmc retune infinitely issue
42f9fd11 | 2024-09-01 | David Li | dts: audio: update audio pin configuration
3f41520a | 2024-09-01 | David Li | audio: th1520: workaround to solve noise at the end
3e30a3c0 | 2024-09-01 | Han Gao | remove dts "audio_mem" node and add mbox 910r channel
bb2caac0 | 2024-09-01 | tingming | dts: th1520_defconfig: to revert the config CONFIG_USB_GADGET
931136c5 | 2024-09-01 | Xiangyi Zeng | dts: gpio: add gpio/0/1/2/3 clk gate
c84635e7 | 2024-09-01 | xianbing Zhu | driver: pty/clk: bootargs options for pty and clk_debug init
a0a8571c | 2024-09-01 | xianbing Zhu | hibernate: improve crc32 speed by calc compressed data
abd07891 | 2024-09-01 | xianbing Zhu | trace: add bootargs options for trace and ftrace for hibernate resume
d3a1ecbf | 2024-09-01 | xianbing Zhu | hibernate: restart when resume fail and added resume dev
204baa09 | 2024-09-01 | xianbing Zhu | hibernate: get buffer page speedup with no GPF_ZERO
d82a2279 | 2024-09-01 | xianbing Zhu | hibernate: speedup image crc caculation by multi-threads
d644da55 | 2024-09-01 | xianbing Zhu | hibernate: load image retry in some crc mismatch
89f1dfd3 | 2024-09-01 | xianbing Zhu | dts: th1520: update mmc sdio clocks
cdbc8ffa | 2024-09-01 | tingming | dts: rvbook: to modity rvbook dts
0dce0f1b | 2024-09-01 | Han Gao | usb: dwc3-thead: fix usb gadget support
51cad0ec | 2024-09-01 | Han Gao | dts: th1520-lichee-pi-4a: update usb hub
a78aad86 | 2024-09-01 | Xiangyi Zeng | drivers: iopmp: add iopmp driver
f4c6402f | 2024-09-01 | Xiangyi Zeng | drivers: pct: fix NULL ptr error when pvt resume from ram
34626e74 | 2024-09-01 | Xiangyi Zeng | drivers: pinctrl: add pinctrl driver pm ops
5a16afdf | 2024-09-01 | Xiangyi Zeng | dts: th1520: modify kernel memory region, [0x0, 0x20000] is reserved for opensbi
6f822cbc | 2024-09-01 | tingming | dts: th1520: to modify rvbook dts
47bd9c22 | 2024-09-01 | Han Gao | dts: add th1520-lpi4a-dsi0.dts and th1520-lpi4a-hx8279.dts
3dc43e5e | 2024-09-01 | Xiangyi Zeng | dts: th1520: add adc vref-supply regulator
2aca7d5d | 2024-09-01 | David Li | audio: th1520: to support tdm/spdif feature
ca136593 | 2024-09-01 | David Li | dts: rvbook: to adapt compatible 'thead,th1520' of rvbook
74039e4e | 2024-09-01 | xianbing Zhu | riscv: hibernate: crash dump memory mark as nosave
f1b181c1 | 2024-09-01 | xianbing Zhu | hibernate:snaoshot: detail show copied pfn info
bd4a04c1 | 2024-09-01 | xianbing Zhu | hibernate: extended platform ops for all mode
b88ce170 | 2024-09-01 | xianbing Zhu | hibernate: add interface for driver to mark no_save region
ded91c22 | 2024-09-01 | Han Gao | dts: add display support for dsi0&dsi1 and dsi0&hdmi
db32bd37 | 2024-09-01 | Han Gao | dw-axi-dma : dma_chan_prep_dma_memcpy func add chan->direction = DMA_MEM_TO_MEM
d6a2c1a6 | 2024-09-01 | Xiangyi Zeng | drivers: dma: change dw dma runtime pm to sync
fe98c7bf | 2024-09-01 | Xiangyi Zeng | audio: th1520: fix i2s pause/resume dma fail
ca98a49e | 2024-09-01 | Hao Li | dma: dw-axi-dmac: fix multi-channel dmatest fail
787c68b0 | 2024-09-01 | Xiangyi Zeng | audio: th1520: resolve the dma error problem when ap i2s audio stop play
a3a69f65 | 2024-09-01 | Xiangyi Zeng | watchdog: dw_wdt: ap watchdog timeout report different strategies
6a33d407 | 2024-09-01 | Xiangyi Zeng | drivers: wdt: drop DW wdt restart function for th1520 soc
fe287fe2 | 2024-09-01 | Xiangyi Zeng | drivers: hwmon: bugfix for mr75203
76d74439 | 2024-09-01 | Xiangyi Zeng | spi: spidev: add spidev speed sysfs for debug
11b20132 | 2024-09-01 | Huaming | dtb:th15210: correct vi camera2 path cfg
87814a25 | 2024-09-01 | David Li | dts: update pin/regulator configuration in rvbook dts file
945cb49d | 2024-09-01 | Xiangyi Zeng | dts: th1520: add th1520-a-val-crash.dts and th1520-lpi4a-product-crash.dts for kdump
f7840dcf | 2024-09-01 | Xiangyi Zeng | drivers: pinctrl: correct th1520 audio i2c1 bit mapping table
62dcd615 | 2024-09-01 | Huaming | dtb:th1520: LA Board correct cma cfg
b6ad7535 | 2024-09-01 | Xiangyi Zeng | dts: th1520: add cpu thermal node and device thermal node
18167640 | 2024-09-01 | Han Gao | DPU: support DSI/HDMI driver for light-a-val
05b615dc | 2024-09-01 | David Li | perf: sync vendor event path with torvalds/linux
273847ec | 2024-09-01 | David Li | dts: audio: to support i2s-8ch feature
ce99ffb6 | 2024-09-01 | tingming | th1520: system_monitor: to add system_monitor driver
e1565ccd | 2024-09-01 | David Li | dts: audio: to adapt compatible 'thead,th1520'
35166888 | 2024-09-01 | Huaming | dtb:th1520:light add vi module
0da78f3d | 2024-09-01 | Han Gao | driver : rfkill : Delete unnecessary code
3ebb8a69 | 2024-09-01 | Han Gao | dts: rfkill: Delete unnecessary nodes
e3b0cd9c | 2024-09-01 | xiaojin.cxj | regdump:add regdump support for lpi4a and light-a && rename some dts name from "thead" to "xuantie"
949d6ae3 | 2024-09-01 | Huaming | driver:i2c:add i2c mode for tx transfer
2a92353b | 2024-09-01 | Han Gao | RISC-V laptop: Add new drivers for specific hardware components
6ace84e2 | 2024-09-01 | David Li | dts: audio: correct audiosys pinctrl name
c8306df4 | 2024-09-01 | David Li | audio: th1520: support audiosys pinctrl feature
7354fae0 | 2024-09-01 | Xiangyi Zeng | dts: th1520: remove usb hub node from th1520-a board
d2cc9545 | 2024-09-01 | Han Gao | rvbook: add th1520-rvbook.dts
ffdcbcb1 | 2024-09-01 | Han Gao | Add kernel boot rvbook_defconfig
c1835e8b | 2024-09-01 | Han Gao | dts: add GPU device node
f54f81e5 | 2024-09-01 | tingming | hwspinlock: th1520: to add th1520 hwspinlock driver
0658401c | 2024-09-01 | Xiangyi Zeng | dts: th1520: add rambus eip_28 device node
f96e4c7e | 2024-09-01 | Esther Z | dts: th1520: add LA regulator support.
cbbe4d7b | 2024-09-01 | Han Gao | perf vendor events riscv: Add PMU event JSON files for TH1520 DDRC PMU
8c412ed5 | 2024-09-01 | Han Gao | dts: rfkill: Resolving Insmod Failure Issues
7963a130 | 2024-09-01 | Xiangyi Zeng | drivers:misc:dsmart: add th1520 iso7816 driver
